feature,importance_gain,importance_split
Pressure(in),4412680.326599047,982540
Temperature(F),3491379.395685792,850182
Humidity(%),3279331.274109766,793284
Wind_Direction,2353776.3782515824,410220
month,2313427.432095453,254917
Weather_Condition,2270745.2143886387,273488
Wind_Speed(mph),2007845.4588015527,510853
hour,1369779.8522460759,338927
hour_cos,1165563.8237208724,249563
dow,1052997.0833627284,245873
Traffic_Signal,996237.6275151074,61570
hour_sin,985263.0155370235,258018
month_cos,963794.9523751289,177179
month_sin,892900.9694533199,176871
dow_sin,774463.6102167666,214925
Crossing,577992.2767800391,45295
Visibility(mi),533858.005777508,152560
dow_cos,430768.7487745285,122676
Precipitation(in),266741.25982376933,93311
Stop,217731.1327946484,14879
Junction,210089.7687547505,43011
Astronomical_Twilight,152893.25810053945,21662
is_rush_hour,136388.3693781197,35570
Civil_Twilight,94750.50010836124,22287
Nautical_Twilight,90972.36397838593,21042
Station,89026.77821919322,13563
Sunrise_Sunset,80785.22842773795,19507
bad_weather,76906.99874401093,19929
is_night,68221.70671653748,16624
junction_and_rush_hour,65919.83727397025,18561
Amenity,57944.899212539196,8446
Railway,49037.86936815083,7042
is_rain,39621.15026655793,11932
Give_Way,26973.201821684837,5735
night_and_rain,21731.3342525661,5658
is_weekend,17146.41782194376,3374
No_Exit,11286.540160775185,2775
Traffic_Calming,7879.105093061924,1262
low_visibility,7005.527445435524,2272
strong_wind,3843.365760922432,1051
Bump,2819.2746320962906,528
Roundabout,641.758099257946,198
Turning_Loop,0.0,0
